activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
Walking (Recreational),50.2,42.49,57.75,30.35,34.19,41.86,47.55,58.67,66.03,55.82
Fitness/Gym,34.1,33.1,35.08,37.32,43.44,42.06,36.39,32.93,29.52,23.68
Bush walking,17.47,16.3,18.6,14.6,17.33,20.3,21.45,19.69,19.55,9.57
Running/jogging,16.53,18.97,14.16,26.57,26.65,27.66,20.85,15.77,8.46,1.84
Swimming,15.39,14.51,16.26,17.62,16.34,16.58,18.31,16.66,15.99,9.74
Cycling,8.29,10.43,6.25,6.66,5.59,7.12,9.26,11.59,11.95,5.58
Pilates,7.18,1.21,12.99,3.75,8.76,11.02,8.71,7.13,6.26,3.19
Football/soccer,5.62,8.87,2.5,17.01,12.33,9.36,6.94,3.28,0.95,0.14
Yoga,5.07,1.59,8.47,2.6,3.61,6.43,6.28,6.11,5.57,3.16
Tennis,4.94,5.84,4.1,9.45,7.48,6.48,5.28,5.27,3.29,1.92
Golf,4.56,7.56,1.69,2.38,2.76,3.54,3.4,4.83,6.89,6.09
Basketball,4.53,6.84,2.3,17.28,11.69,6.16,4.84,2.62,0.78,0.21
Cricket,2.49,4.25,0.8,8.43,4.83,3.54,2.67,1.97,0.99,0.31
Australian football,2.42,3.81,1.08,6.04,6.01,4.75,2.07,1.38,0.45,0.07
Netball,2.11,0.69,3.5,8.14,5.52,3.06,2.13,1.16,0.31,0.05
Badminton,1.89,2.23,1.56,9.07,4.19,2.97,1.73,0.81,0.31,0.15
Table tennis,1.79,2.53,1.08,6.54,3.3,2.3,1.61,1.44,0.94,0.51
Dancing (recreational),1.63,0.49,2.72,2.63,2.42,1.89,1.7,1.23,1.14,1.32
Surfing,1.38,1.73,1.06,2.22,1.27,1.57,1.82,1.77,1.35,0.51
"Athletics, track and field",1.32,1.74,0.92,5.75,2.92,2.13,1.08,0.6,0.32,0.2
Volleyball (indoor and outdoor),1.31,1.55,1.06,10.11,3.41,1.58,0.68,0.35,0.14,0.06
Pickleball/padel,1.31,1.32,1.31,0.9,1.42,1.55,1.37,1.53,1.67,0.72
DanceSport,1.12,0.28,1.92,3.71,2.58,1.26,1.05,0.7,0.66,0.36
Fishing (recreational),1.07,1.69,0.47,1.07,0.66,0.93,0.96,1.44,1.55,0.92
Canoeing/Kayaking,1.0,1.03,0.96,0.66,0.64,0.97,1.13,1.25,1.48,0.68
Weight lifting,0.98,1.07,0.88,0.77,1.57,1.6,1.09,0.86,0.69,0.38
Virtual based physical activity,0.95,0.97,0.92,3.75,1.75,1.43,0.83,0.7,0.27,0.25
Motor cycling,0.95,1.38,0.52,1.5,0.98,1.41,0.91,0.79,1.11,0.45
Boxing,0.85,0.97,0.73,0.98,1.75,1.57,0.96,0.74,0.32,0.05
Underwater sports,0.84,0.84,0.84,0.72,0.68,1.05,1.09,0.82,1.14,0.37
Bowls,0.83,1.11,0.57,0.15,0.09,0.29,0.24,0.42,1.01,2.49
Ski & snowboard,0.81,0.96,0.67,0.27,0.68,0.89,0.82,1.01,1.4,0.4
Rugby league,0.76,1.21,0.34,3.24,1.69,1.39,0.68,0.37,0.07,0.01
Mountain biking,0.73,1.18,0.28,1.72,0.48,0.61,0.97,1.21,0.71,0.21
Touch football,0.71,0.92,0.52,2.34,1.55,1.21,0.56,0.5,0.26,0.06
Crossfit/Functional fitness,0.65,0.55,0.75,0.16,0.49,1.29,1.08,0.63,0.4,0.1
Tenpin bowling,0.63,0.65,0.61,1.06,0.82,0.52,0.69,0.64,0.7,0.43
Martial arts,0.63,0.55,0.7,0.65,0.74,0.51,0.28,0.53,0.48,1.1
Rowing,0.59,0.69,0.49,0.95,0.41,0.52,0.51,0.71,0.85,0.46
Gymnastics,0.54,0.33,0.74,2.5,1.06,0.73,0.69,0.15,0.16,0.09
Sport climbing,0.54,0.66,0.41,1.38,1.33,1.26,0.49,0.04,0.12,0.01
Hockey,0.51,0.51,0.52,1.63,0.98,0.58,0.63,0.45,0.27,0.07
Rock climbing/Abseiling/Caving,0.46,0.53,0.36,1.79,0.98,0.6,0.55,0.25,0.16,0.05
Equestrian,0.44,0.14,0.74,0.55,0.68,0.57,0.44,0.41,0.59,0.1
Skate,0.4,0.39,0.38,1.19,0.66,0.6,0.47,0.43,0.12,0.01
Squash,0.39,0.57,0.22,0.36,0.34,0.58,0.46,0.43,0.41,0.16
Rugby union,0.37,0.6,0.15,1.39,0.91,0.62,0.29,0.18,0.13,0.04
Calisthenics,0.36,0.56,0.17,1.23,0.69,0.52,0.33,0.25,0.18,0.08
Sailing,0.33,0.46,0.2,0.3,0.14,0.17,0.22,0.36,0.69,0.4
Baseball,0.31,0.47,0.16,0.72,0.55,0.47,0.4,0.37,0.06,0.01
Billiards/Snooker/Pool,0.3,0.42,0.19,0.42,0.39,0.49,0.27,0.25,0.26,0.17
Flying disc,0.25,0.29,0.2,0.68,0.7,0.36,0.2,0.17,0.1,0.02
Motor sport,0.25,0.4,0.09,0.74,0.4,0.42,0.21,0.18,0.22,0.04
Rope skipping,0.25,0.18,0.31,0.44,0.38,0.43,0.3,0.19,0.19,0.02
Oztag,0.22,0.25,0.2,0.96,0.76,0.38,0.13,0.03,0.0,0.01
Air sports,0.22,0.31,0.14,0.35,0.51,0.39,0.22,0.12,0.12,0.06
Paddle sports,0.21,0.21,0.21,0.0,0.11,0.21,0.21,0.25,0.35,0.18
Ice skating,0.21,0.1,0.31,1.66,0.39,0.23,0.17,0.11,0.07,0.0
eSports,0.21,0.32,0.09,0.13,0.74,0.4,0.17,0.11,0.04,0.01
Shooting/field,0.2,0.38,0.04,0.32,0.11,0.33,0.22,0.23,0.15,0.12
Karate,0.19,0.24,0.14,0.42,0.43,0.1,0.28,0.13,0.17,0.06
Archery,0.18,0.24,0.12,0.28,0.16,0.29,0.28,0.19,0.11,0.03
Jujitsu,0.17,0.28,0.06,0.38,0.25,0.29,0.33,0.09,0.01,0.01
Muay Thai,0.17,0.2,0.14,0.33,0.64,0.27,0.13,0.05,0.03,0.0
Darts,0.16,0.22,0.11,0.0,0.27,0.14,0.16,0.17,0.21,0.13
Waterskiing/Wakeboarding,0.15,0.17,0.13,0.0,0.24,0.19,0.14,0.19,0.23,0.03
Softball,0.14,0.12,0.15,0.31,0.24,0.18,0.16,0.11,0.15,0.0
Triathlon,0.14,0.18,0.1,0.29,0.17,0.19,0.22,0.23,0.03,0.01
