activity,Jan–Dec 2025,Jul 2023–Jun 2024,change
Fitness/Gym,34.1,29.32,4.780000000000001
Pilates,7.18,5.06,2.12
Walking (Recreational),50.2,49.46,0.740000000000002
Running/jogging,16.53,15.89,0.6400000000000006
Bush walking,17.47,16.96,0.509999999999998
Golf,4.56,4.36,0.1999999999999993
Yoga,5.07,4.89,0.1800000000000006
Table tennis,1.79,1.61,0.17999999999999994
Swimming,15.39,15.24,0.15000000000000036
Tennis,4.94,4.81,0.13000000000000078
DanceSport,1.12,1.0,0.1200000000000001
Badminton,1.89,1.79,0.09999999999999987
Underwater sports,0.84,0.75,0.08999999999999997
Netball,2.11,2.02,0.08999999999999986
Cricket,2.49,2.47,0.020000000000000018
Dancing (recreational),1.63,1.62,0.009999999999999787
Football/soccer,5.62,5.63,-0.009999999999999787
Rock climbing/Abseiling/Caving,0.46,0.47,-0.009999999999999953
Martial arts,0.63,0.64,-0.010000000000000009
Bowls,0.83,0.87,-0.040000000000000036
Surfing,1.38,1.42,-0.040000000000000036
Boxing,0.85,0.89,-0.040000000000000036
Volleyball (indoor and outdoor),1.31,1.38,-0.06999999999999984
Motor cycling,0.95,1.08,-0.13000000000000012
Australian football,2.42,2.57,-0.1499999999999999
Basketball,4.53,4.82,-0.29000000000000004
Weight lifting,0.98,1.38,-0.3999999999999999
Cycling,8.29,8.9,-0.6100000000000012
Crossfit,,0.62,
Pickleball/padel,1.31,,
