barrier,all_pct,male_pct,female_pct
Poor health/injury,27.22,24.57,29.61
Increasing age/too old,22.48,20.0,24.87
Disability,15.11,13.03,16.9
Too lazy,15.64,15.99,15.48
Not enough time,13.05,13.23,13.04
Don't like sport,14.37,11.5,16.83
Not a priority,12.22,13.7,11.13
Nobody to do it with,7.73,7.5,7.98
Can't afford it,6.68,4.47,8.37
Fear of injury,6.59,6.59,6.63
Physical job,5.75,7.59,4.07
Weather,5.19,5.05,5.4
Not good enough,5.68,5.12,6.16
Too busy with children's activities,3.41,2.78,4.01
Looking after children,3.66,2.86,4.38
Not value for money,3.32,3.28,3.31
No transport,2.57,2.05,3.02
No facilities/clubs,2.31,2.53,2.05
Too competitive,2.83,3.51,2.28
Fear of discrimination,2.31,2.3,2.32
Not familiar with activity,1.93,2.28,1.66
Pregnancy,1.36,0.44,2.19
No longer interested,0.92,1.09,0.79
Not culturally appropriate,0.58,0.74,0.45
