period,year_label,barrier,all_pct,male_pct,female_pct
Jul 2023–Jun 2024,2023/24,Poor health/injury,28.69,25.21,31.76
Jul 2023–Jun 2024,2023/24,Increasing age/too old,21.88,21.14,22.81
Jul 2023–Jun 2024,2023/24,Disability,16.9,14.43,18.93
Jul 2023–Jun 2024,2023/24,Too lazy,14.83,15.42,14.04
Jul 2023–Jun 2024,2023/24,Not enough time,13.89,13.35,14.46
Jul 2023–Jun 2024,2023/24,Don't like sport,12.55,9.21,15.28
Jul 2023–Jun 2024,2023/24,Not a priority,11.99,12.67,11.51
Jul 2023–Jun 2024,2023/24,Nobody to do it with,7.0,6.21,7.7
Jul 2023–Jun 2024,2023/24,Can't afford it,6.7,4.73,8.38
Jul 2023–Jun 2024,2023/24,Fear of injury,6.68,6.15,7.14
Jul 2023–Jun 2024,2023/24,Physical job,5.44,6.86,4.23
Jul 2023–Jun 2024,2023/24,Weather,4.95,5.0,4.87
Jul 2023–Jun 2024,2023/24,Not good enough,4.6,4.22,4.86
Jul 2023–Jun 2024,2023/24,Too busy with children's activities,3.5,2.79,4.09
Jul 2023–Jun 2024,2023/24,Looking after children,3.34,2.27,4.27
Jul 2023–Jun 2024,2023/24,Not value for money,3.07,3.25,2.91
Jul 2023–Jun 2024,2023/24,No transport,2.38,2.04,2.65
Jul 2023–Jun 2024,2023/24,No facilities/clubs,2.33,2.58,2.05
Jul 2023–Jun 2024,2023/24,Too competitive,2.17,2.15,2.13
Jul 2023–Jun 2024,2023/24,Fear of discrimination,2.14,1.86,2.36
Jul 2023–Jun 2024,2023/24,Not familiar with activity,1.78,1.6,1.85
Jul 2023–Jun 2024,2023/24,Pregnancy,1.21,0.39,1.9
Jul 2023–Jun 2024,2023/24,No longer interested,1.08,1.15,1.04
Jul 2023–Jun 2024,2023/24,Not culturally appropriate,0.53,0.74,0.34
Jan–Dec 2024,2024,Poor health/injury,28.73,24.99,32.14
Jan–Dec 2024,2024,Increasing age/too old,21.59,19.88,23.61
Jan–Dec 2024,2024,Disability,16.16,13.73,18.15
Jan–Dec 2024,2024,Too lazy,15.24,15.33,14.76
Jan–Dec 2024,2024,Not enough time,13.8,13.07,14.58
Jan–Dec 2024,2024,Don't like sport,12.55,9.24,15.49
Jan–Dec 2024,2024,Not a priority,12.0,12.72,11.41
Jan–Dec 2024,2024,Nobody to do it with,7.04,6.25,7.65
