period,age_group,frequency,pct
Jul 2023–Jun 2024,All ages,1+/year,84.15
Jul 2023–Jun 2024,All ages,1+/month,78.71
Jul 2023–Jun 2024,All ages,1+/fortnight,74.12
Jul 2023–Jun 2024,All ages,1+/week,65.96
Jul 2023–Jun 2024,All ages,2+/week,56.15
Jul 2023–Jun 2024,All ages,3+/week,47.63
Jul 2023–Jun 2024,All ages,4+/week,38.79
Jul 2023–Jun 2024,All ages,5+/week,31.71
Jul 2023–Jun 2024,All ages,6+/week,24.23
Jul 2023–Jun 2024,All ages,7+/week,18.48
Jul 2023–Jun 2024,15-17,1+/year,84.23
Jul 2023–Jun 2024,15-17,1+/month,80.0
Jul 2023–Jun 2024,15-17,1+/fortnight,73.17
Jul 2023–Jun 2024,15-17,1+/week,66.11
Jul 2023–Jun 2024,15-17,2+/week,56.27
Jul 2023–Jun 2024,15-17,3+/week,46.77
Jul 2023–Jun 2024,15-17,4+/week,38.35
Jul 2023–Jun 2024,15-17,5+/week,31.63
Jul 2023–Jun 2024,15-17,6+/week,26.87
Jul 2023–Jun 2024,15-17,7+/week,23.27
Jul 2023–Jun 2024,18-24,1+/year,87.44
Jul 2023–Jun 2024,18-24,1+/month,81.1
Jul 2023–Jun 2024,18-24,1+/fortnight,75.93
Jul 2023–Jun 2024,18-24,1+/week,67.28
Jul 2023–Jun 2024,18-24,2+/week,56.87
Jul 2023–Jun 2024,18-24,3+/week,48.09
Jul 2023–Jun 2024,18-24,4+/week,39.63
Jul 2023–Jun 2024,18-24,5+/week,32.69
Jul 2023–Jun 2024,18-24,6+/week,24.99
Jul 2023–Jun 2024,18-24,7+/week,19.84
Jul 2023–Jun 2024,25-34,1+/year,89.24
Jul 2023–Jun 2024,25-34,1+/month,82.31
Jul 2023–Jun 2024,25-34,1+/fortnight,76.73
Jul 2023–Jun 2024,25-34,1+/week,67.27
Jul 2023–Jun 2024,25-34,2+/week,56.2
Jul 2023–Jun 2024,25-34,3+/week,47.27
Jul 2023–Jun 2024,25-34,4+/week,38.33
Jul 2023–Jun 2024,25-34,5+/week,31.01
Jul 2023–Jun 2024,25-34,6+/week,23.44
Jul 2023–Jun 2024,25-34,7+/week,17.9
Jul 2023–Jun 2024,35-44,1+/year,87.56
Jul 2023–Jun 2024,35-44,1+/month,80.94
Jul 2023–Jun 2024,35-44,1+/fortnight,75.62
Jul 2023–Jun 2024,35-44,1+/week,65.87
Jul 2023–Jun 2024,35-44,2+/week,54.09
Jul 2023–Jun 2024,35-44,3+/week,44.89
Jul 2023–Jun 2024,35-44,4+/week,35.59
Jul 2023–Jun 2024,35-44,5+/week,28.59
Jul 2023–Jun 2024,35-44,6+/week,21.82
Jul 2023–Jun 2024,35-44,7+/week,16.56
Jul 2023–Jun 2024,45-54,1+/year,86.41
Jul 2023–Jun 2024,45-54,1+/month,81.41
Jul 2023–Jun 2024,45-54,1+/fortnight,76.81
Jul 2023–Jun 2024,45-54,1+/week,68.15
Jul 2023–Jun 2024,45-54,2+/week,58.2
Jul 2023–Jun 2024,45-54,3+/week,49.81
Jul 2023–Jun 2024,45-54,4+/week,40.31
Jul 2023–Jun 2024,45-54,5+/week,32.99
Jul 2023–Jun 2024,45-54,6+/week,25.26
Jul 2023–Jun 2024,45-54,7+/week,19.43
Jul 2023–Jun 2024,55-64,1+/year,84.22
Jul 2023–Jun 2024,55-64,1+/month,79.76
Jul 2023–Jun 2024,55-64,1+/fortnight,75.89
Jul 2023–Jun 2024,55-64,1+/week,69.46
Jul 2023–Jun 2024,55-64,2+/week,61.11
Jul 2023–Jun 2024,55-64,3+/week,53.32
Jul 2023–Jun 2024,55-64,4+/week,44.96
Jul 2023–Jun 2024,55-64,5+/week,37.66
Jul 2023–Jun 2024,55-64,6+/week,28.67
Jul 2023–Jun 2024,55-64,7+/week,22.0
Jul 2023–Jun 2024,65+,1+/year,73.6
Jul 2023–Jun 2024,65+,1+/month,69.67
Jul 2023–Jun 2024,65+,1+/fortnight,66.78
Jul 2023–Jun 2024,65+,1+/week,60.27
Jul 2023–Jun 2024,65+,2+/week,52.57
Jul 2023–Jun 2024,65+,3+/week,44.7
Jul 2023–Jun 2024,65+,4+/week,36.22
Jul 2023–Jun 2024,65+,5+/week,29.44
Jul 2023–Jun 2024,65+,6+/week,22.21
Jul 2023–Jun 2024,65+,7+/week,15.79
Jan–Dec 2024,All ages,1+/year,85.29
Jan–Dec 2024,All ages,1+/month,79.63
Jan–Dec 2024,All ages,1+/fortnight,75.2
Jan–Dec 2024,All ages,1+/week,67.07
Jan–Dec 2024,All ages,2+/week,57.09
Jan–Dec 2024,All ages,3+/week,48.26
Jan–Dec 2024,All ages,4+/week,39.27
Jan–Dec 2024,All ages,5+/week,32.15
Jan–Dec 2024,All ages,6+/week,24.56
Jan–Dec 2024,All ages,7+/week,18.65
Jan–Dec 2024,15-17,1+/year,83.18
Jan–Dec 2024,15-17,1+/month,78.06
Jan–Dec 2024,15-17,1+/fortnight,73.74
Jan–Dec 2024,15-17,1+/week,65.29
Jan–Dec 2024,15-17,2+/week,54.61
Jan–Dec 2024,15-17,3+/week,44.6
Jan–Dec 2024,15-17,4+/week,37.75
Jan–Dec 2024,15-17,5+/week,31.67
Jan–Dec 2024,15-17,6+/week,27.33
Jan–Dec 2024,15-17,7+/week,23.5
Jan–Dec 2024,18-24,1+/year,87.26
Jan–Dec 2024,18-24,1+/month,80.53
Jan–Dec 2024,18-24,1+/fortnight,75.4
Jan–Dec 2024,18-24,1+/week,66.78
Jan–Dec 2024,18-24,2+/week,56.05
Jan–Dec 2024,18-24,3+/week,46.94
Jan–Dec 2024,18-24,4+/week,38.07
Jan–Dec 2024,18-24,5+/week,31.18
Jan–Dec 2024,18-24,6+/week,24.13
Jan–Dec 2024,18-24,7+/week,18.6
Jan–Dec 2024,25-34,1+/year,90.55
Jan–Dec 2024,25-34,1+/month,83.28
Jan–Dec 2024,25-34,1+/fortnight,77.93
Jan–Dec 2024,25-34,1+/week,68.93
Jan–Dec 2024,25-34,2+/week,58.06
Jan–Dec 2024,25-34,3+/week,48.68
Jan–Dec 2024,25-34,4+/week,39.48
Jan–Dec 2024,25-34,5+/week,32.06
Jan–Dec 2024,25-34,6+/week,24.37
Jan–Dec 2024,25-34,7+/week,18.53
Jan–Dec 2024,35-44,1+/year,88.17
Jan–Dec 2024,35-44,1+/month,81.51
Jan–Dec 2024,35-44,1+/fortnight,76.3
Jan–Dec 2024,35-44,1+/week,66.91
Jan–Dec 2024,35-44,2+/week,55.13
Jan–Dec 2024,35-44,3+/week,46.01
Jan–Dec 2024,35-44,4+/week,36.77
Jan–Dec 2024,35-44,5+/week,29.32
Jan–Dec 2024,35-44,6+/week,21.73
Jan–Dec 2024,35-44,7+/week,16.52
Jan–Dec 2024,45-54,1+/year,87.93
Jan–Dec 2024,45-54,1+/month,82.14
Jan–Dec 2024,45-54,1+/fortnight,77.73
Jan–Dec 2024,45-54,1+/week,69.82
Jan–Dec 2024,45-54,2+/week,59.55
Jan–Dec 2024,45-54,3+/week,50.89
Jan–Dec 2024,45-54,4+/week,41.1
Jan–Dec 2024,45-54,5+/week,33.87
Jan–Dec 2024,45-54,6+/week,25.64
Jan–Dec 2024,45-54,7+/week,19.13
Jan–Dec 2024,55-64,1+/year,86.01
Jan–Dec 2024,55-64,1+/month,81.67
Jan–Dec 2024,55-64,1+/fortnight,77.4
Jan–Dec 2024,55-64,1+/week,70.59
Jan–Dec 2024,55-64,2+/week,62.05
Jan–Dec 2024,55-64,3+/week,53.72
Jan–Dec 2024,55-64,4+/week,45.29
Jan–Dec 2024,55-64,5+/week,37.53
Jan–Dec 2024,55-64,6+/week,28.78
Jan–Dec 2024,55-64,7+/week,22.31
Jan–Dec 2024,65+,1+/year,75.48
Jan–Dec 2024,65+,1+/month,71.66
Jan–Dec 2024,65+,1+/fortnight,68.87
Jan–Dec 2024,65+,1+/week,61.83
Jan–Dec 2024,65+,2+/week,53.9
Jan–Dec 2024,65+,3+/week,45.71
Jan–Dec 2024,65+,4+/week,36.77
Jan–Dec 2024,65+,5+/week,30.36
Jan–Dec 2024,65+,6+/week,23.07
Jan–Dec 2024,65+,7+/week,16.7
Jul 2024–Jun 2025,All ages,1+/year,85.54
Jul 2024–Jun 2025,All ages,1+/month,80.15
Jul 2024–Jun 2025,All ages,1+/fortnight,75.68
Jul 2024–Jun 2025,All ages,1+/week,67.74
Jul 2024–Jun 2025,All ages,2+/week,57.84
Jul 2024–Jun 2025,All ages,3+/week,49.02
Jul 2024–Jun 2025,All ages,4+/week,40.14
Jul 2024–Jun 2025,All ages,5+/week,32.77
Jul 2024–Jun 2025,All ages,6+/week,24.88
Jul 2024–Jun 2025,All ages,7+/week,18.88
Jul 2024–Jun 2025,15-17,1+/year,84.81
Jul 2024–Jun 2025,15-17,1+/month,79.37
Jul 2024–Jun 2025,15-17,1+/fortnight,75.01
Jul 2024–Jun 2025,15-17,1+/week,68.09
Jul 2024–Jun 2025,15-17,2+/week,57.05
Jul 2024–Jun 2025,15-17,3+/week,49.46
Jul 2024–Jun 2025,15-17,4+/week,41.25
Jul 2024–Jun 2025,15-17,5+/week,35.16
Jul 2024–Jun 2025,15-17,6+/week,28.26
Jul 2024–Jun 2025,15-17,7+/week,23.02
Jul 2024–Jun 2025,18-24,1+/year,87.78
Jul 2024–Jun 2025,18-24,1+/month,81.41
Jul 2024–Jun 2025,18-24,1+/fortnight,75.96
Jul 2024–Jun 2025,18-24,1+/week,67.67
Jul 2024–Jun 2025,18-24,2+/week,56.48
Jul 2024–Jun 2025,18-24,3+/week,47.06
Jul 2024–Jun 2025,18-24,4+/week,37.82
Jul 2024–Jun 2025,18-24,5+/week,31.13
Jul 2024–Jun 2025,18-24,6+/week,24.11
Jul 2024–Jun 2025,18-24,7+/week,18.37
Jul 2024–Jun 2025,25-34,1+/year,89.91
Jul 2024–Jun 2025,25-34,1+/month,83.4
Jul 2024–Jun 2025,25-34,1+/fortnight,78.14
Jul 2024–Jun 2025,25-34,1+/week,69.14
Jul 2024–Jun 2025,25-34,2+/week,58.65
Jul 2024–Jun 2025,25-34,3+/week,49.22
Jul 2024–Jun 2025,25-34,4+/week,40.09
Jul 2024–Jun 2025,25-34,5+/week,31.99
Jul 2024–Jun 2025,25-34,6+/week,24.3
Jul 2024–Jun 2025,25-34,7+/week,18.64
Jul 2024–Jun 2025,35-44,1+/year,88.79
Jul 2024–Jun 2025,35-44,1+/month,82.59
