motivation,all_pct,male_pct,female_pct
Physical health/fitness,66.54,63.79,69.33
Fun/enjoyment,58.88,59.91,57.86
Weight management,53.21,50.6,55.84
Outdoors/nature,51.09,48.03,54.17
Social reasons,44.22,43.2,45.22
Mental health,37.63,33.37,41.77
Sense of achievement,30.82,30.51,31.06
Hobby,28.82,32.26,25.36
Walk the dog,19.94,15.77,24.09
Training,20.51,24.81,16.3
Learn new skill,14.7,14.11,15.26
Competition,13.99,18.45,9.61
Way of getting around,12.48,11.68,13.19
Physio/rehab,12.4,11.5,13.27
Role model,9.33,9.91,8.77
Professional,4.35,4.88,3.83
