period,year_label,motivation,all_pct,male_pct,female_pct
Jul 2023–Jun 2024,2023/24,Physical health/fitness,64.56,62.22,66.92
Jul 2023–Jun 2024,2023/24,Fun/enjoyment,58.85,60.43,57.25
Jul 2023–Jun 2024,2023/24,Weight management,52.63,49.41,55.89
Jul 2023–Jun 2024,2023/24,Outdoors/nature,51.17,48.43,53.85
Jul 2023–Jun 2024,2023/24,Social reasons,43.77,42.99,44.53
Jul 2023–Jun 2024,2023/24,Mental health,37.09,32.82,41.18
Jul 2023–Jun 2024,2023/24,Sense of achievement,29.69,29.42,29.78
Jul 2023–Jun 2024,2023/24,Hobby,28.29,31.75,24.71
Jul 2023–Jun 2024,2023/24,Walk the dog,20.68,16.9,24.45
Jul 2023–Jun 2024,2023/24,Training,19.19,23.45,14.9
Jul 2023–Jun 2024,2023/24,Learn new skill,13.87,13.46,14.21
Jul 2023–Jun 2024,2023/24,Competition,13.42,17.82,9.03
Jul 2023–Jun 2024,2023/24,Way of getting around,12.68,12.35,12.87
Jul 2023–Jun 2024,2023/24,Physio/rehab,12.12,11.26,12.88
Jul 2023–Jun 2024,2023/24,Role model,9.54,9.9,9.12
Jul 2023–Jun 2024,2023/24,Professional,4.56,5.45,3.6
Jan–Dec 2024,2024,Physical health/fitness,64.62,62.12,67.16
Jan–Dec 2024,2024,Fun/enjoyment,58.64,59.47,57.81
Jan–Dec 2024,2024,Weight management,52.65,49.16,56.16
Jan–Dec 2024,2024,Outdoors/nature,51.19,48.04,54.25
Jan–Dec 2024,2024,Social reasons,43.57,42.59,44.56
Jan–Dec 2024,2024,Mental health,37.4,32.9,41.73
Jan–Dec 2024,2024,Sense of achievement,30.32,29.82,30.75
Jan–Dec 2024,2024,Hobby,27.98,31.06,24.75
Jan–Dec 2024,2024,Walk the dog,20.69,16.58,24.78
Jan–Dec 2024,2024,Training,19.5,23.85,15.23
Jan–Dec 2024,2024,Learn new skill,14.26,13.49,14.92
Jan–Dec 2024,2024,Competition,13.88,18.42,9.4
Jan–Dec 2024,2024,Way of getting around,12.27,12.04,12.38
Jan–Dec 2024,2024,Physio/rehab,12.15,11.11,13.1
Jan–Dec 2024,2024,Role model,9.44,9.89,8.99
Jan–Dec 2024,2024,Professional,4.42,5.25,3.57
Jul 2024–Jun 2025,2024/25,Physical health/fitness,65.34,62.57,68.13
Jul 2024–Jun 2025,2024/25,Fun/enjoyment,58.53,59.34,57.78
Jul 2024–Jun 2025,2024/25,Weight management,52.79,49.77,55.84
Jul 2024–Jun 2025,2024/25,Outdoors/nature,51.0,47.54,54.4
Jul 2024–Jun 2025,2024/25,Social reasons,43.61,42.55,44.7
Jul 2024–Jun 2025,2024/25,Mental health,37.03,32.52,41.38
Jul 2024–Jun 2025,2024/25,Sense of achievement,30.37,29.9,30.8
Jul 2024–Jun 2025,2024/25,Hobby,28.51,31.73,25.26
Jul 2024–Jun 2025,2024/25,Walk the dog,20.43,16.24,24.56
Jul 2024–Jun 2025,2024/25,Training,19.95,24.52,15.52
Jul 2024–Jun 2025,2024/25,Learn new skill,14.56,13.7,15.36
Jul 2024–Jun 2025,2024/25,Competition,14.15,18.88,9.54
Jul 2024–Jun 2025,2024/25,Way of getting around,12.11,11.48,12.62
Jul 2024–Jun 2025,2024/25,Physio/rehab,12.14,11.1,13.12
Jul 2024–Jun 2025,2024/25,Role model,9.32,9.94,8.73
Jul 2024–Jun 2025,2024/25,Professional,4.31,4.95,3.67
Jan–Dec 2025,2025,Physical health/fitness,66.54,63.79,69.33
Jan–Dec 2025,2025,Fun/enjoyment,58.88,59.91,57.86
Jan–Dec 2025,2025,Weight management,53.21,50.6,55.84
Jan–Dec 2025,2025,Outdoors/nature,51.09,48.03,54.17
Jan–Dec 2025,2025,Social reasons,44.22,43.2,45.22
Jan–Dec 2025,2025,Mental health,37.63,33.37,41.77
Jan–Dec 2025,2025,Sense of achievement,30.82,30.51,31.06
Jan–Dec 2025,2025,Hobby,28.82,32.26,25.36
Jan–Dec 2025,2025,Walk the dog,19.94,15.77,24.09
Jan–Dec 2025,2025,Training,20.51,24.81,16.3
Jan–Dec 2025,2025,Learn new skill,14.7,14.11,15.26
Jan–Dec 2025,2025,Competition,13.99,18.45,9.61
Jan–Dec 2025,2025,Way of getting around,12.48,11.68,13.19
Jan–Dec 2025,2025,Physio/rehab,12.4,11.5,13.27
Jan–Dec 2025,2025,Role model,9.33,9.91,8.77
Jan–Dec 2025,2025,Professional,4.35,4.88,3.83
