period,year_label,age_group,informal_only,mixed,organised_only,total_informal,total_organised
Jul 2023–Jun 2024,2023/24,Total,43.5,33.65,6.36,77.15,40.01
Jul 2023–Jun 2024,2023/24,15-17,24.13,52.39,7.23,76.51,59.62
Jul 2023–Jun 2024,2023/24,18-24,35.04,45.18,6.6,80.22,51.78
Jul 2023–Jun 2024,2023/24,25-34,38.64,43.25,6.81,81.89,50.06
Jul 2023–Jun 2024,2023/24,35-44,44.34,35.58,7.27,79.92,42.85
Jul 2023–Jun 2024,2023/24,45-54,51.0,29.96,4.96,80.96,34.92
Jul 2023–Jun 2024,2023/24,55-64,52.84,26.53,4.1,79.37,30.63
Jul 2023–Jun 2024,2023/24,65+,43.76,21.39,7.47,65.15,28.86
Jan–Dec 2024,2024,Total,43.25,34.96,6.53,78.21,41.49
Jan–Dec 2024,2024,15-17,21.95,52.36,7.97,74.31,60.33
Jan–Dec 2024,2024,18-24,34.76,45.27,6.78,80.03,52.05
Jan–Dec 2024,2024,25-34,37.88,45.27,6.97,83.14,52.24
Jan–Dec 2024,2024,35-44,44.55,35.87,7.39,80.42,43.26
Jan–Dec 2024,2024,45-54,50.9,31.56,5.01,82.46,36.57
Jan–Dec 2024,2024,55-64,52.67,28.46,4.27,81.13,32.73
Jan–Dec 2024,2024,65+,44.0,23.04,7.62,67.04,30.66
Jul 2024–Jun 2025,2024/25,Total,43.23,35.22,6.58,78.45,41.8
Jul 2024–Jun 2025,2024/25,15-17,24.51,51.96,7.12,76.47,59.08
Jul 2024–Jun 2025,2024/25,18-24,34.92,45.65,6.89,80.57,52.54
Jul 2024–Jun 2025,2024/25,25-34,37.93,44.66,6.81,82.59,51.47
Jul 2024–Jun 2025,2024/25,35-44,44.59,36.57,7.22,81.16,43.78
Jul 2024–Jun 2025,2024/25,45-54,50.29,32.36,5.24,82.64,37.6
Jul 2024–Jun 2025,2024/25,55-64,51.74,29.39,4.43,81.13,33.82
Jul 2024–Jun 2025,2024/25,65+,44.39,22.88,7.94,67.27,30.82
Jan–Dec 2025,2025,Total,43.41,35.5,6.49,78.91,41.99
Jan–Dec 2025,2025,15-17,26.61,53.09,6.69,79.7,59.78
Jan–Dec 2025,2025,18-24,35.3,46.33,6.72,81.63,53.04
Jan–Dec 2025,2025,25-34,37.85,44.56,6.63,82.41,51.19
Jan–Dec 2025,2025,35-44,44.11,36.96,7.11,81.07,44.07
Jan–Dec 2025,2025,45-54,49.97,33.41,5.56,83.38,38.96
Jan–Dec 2025,2025,55-64,51.78,30.52,4.68,82.3,35.2
Jan–Dec 2025,2025,65+,45.32,21.91,7.55,67.23,29.46
