period,year_label,age_group,annual_total,annual_male,annual_female,weekly_total,weekly_male,weekly_female,3xweek_total,3xweek_male,3xweek_female
Jul 2023–Jun 2024,2023/24,Total,84.15,85.31,83.11,65.96,66.53,65.48,47.63,47.61,47.72
Jul 2023–Jun 2024,2023/24,15-17,84.23,83.81,84.56,66.11,69.66,61.57,46.77,52.08,40.53
Jul 2023–Jun 2024,2023/24,18-24,87.44,87.79,87.21,67.28,66.85,67.84,48.09,47.15,49.12
Jul 2023–Jun 2024,2023/24,25-34,89.24,89.74,88.89,67.27,66.48,68.22,47.27,45.95,48.63
Jul 2023–Jun 2024,2023/24,35-44,87.56,88.31,87.03,65.87,64.66,67.22,44.89,42.6,47.37
Jul 2023–Jun 2024,2023/24,45-54,86.41,87.1,85.68,68.15,68.14,68.11,49.81,48.76,50.8
Jul 2023–Jun 2024,2023/24,55-64,84.22,85.75,82.78,69.46,70.41,68.59,53.32,53.26,53.44
Jul 2023–Jun 2024,2023/24,65+,73.6,75.97,71.76,60.27,63.3,57.76,44.7,47.79,42.14
Jan–Dec 2024,2024,Total,85.29,86.04,84.74,67.07,66.98,67.32,48.26,47.24,49.37
Jan–Dec 2024,2024,15-17,83.18,81.31,86.43,65.29,67.65,63.93,44.6,48.02,41.55
Jan–Dec 2024,2024,18-24,87.26,86.98,87.75,66.78,65.45,68.11,46.94,44.84,49.12
Jan–Dec 2024,2024,25-34,90.55,90.71,90.51,68.93,66.95,71.17,48.68,45.6,51.89
Jan–Dec 2024,2024,35-44,88.17,88.24,88.34,66.91,65.4,68.53,46.01,43.46,48.63
Jan–Dec 2024,2024,45-54,87.93,88.3,87.53,69.82,69.22,70.41,50.89,48.81,52.91
Jan–Dec 2024,2024,55-64,86.01,86.37,85.72,70.59,70.5,70.76,53.72,52.6,54.9
Jan–Dec 2024,2024,65+,75.48,78.48,73.08,61.83,64.94,59.28,45.71,48.28,43.61
Jul 2024–Jun 2025,2024/25,Total,85.54,85.92,85.32,67.74,67.21,68.4,49.02,47.8,50.31
Jul 2024–Jun 2025,2024/25,15-17,84.81,81.95,89.34,68.09,67.69,70.17,49.46,51.12,49.06
Jul 2024–Jun 2025,2024/25,18-24,87.78,86.45,89.38,67.67,65.41,69.97,47.06,44.52,49.67
Jul 2024–Jun 2025,2024/25,25-34,89.91,89.5,90.35,69.14,65.9,72.57,49.22,45.06,53.52
Jul 2024–Jun 2025,2024/25,35-44,88.79,88.84,88.92,67.97,66.3,69.68,47.0,44.49,49.46
Jul 2024–Jun 2025,2024/25,45-54,88.26,89.05,87.45,70.7,70.49,70.95,51.53,50.15,52.96
Jul 2024–Jun 2025,2024/25,55-64,86.06,85.79,86.35,71.13,70.6,71.67,54.84,53.13,56.55
Jul 2024–Jun 2025,2024/25,65+,75.88,78.45,73.82,61.98,65.31,59.23,45.8,48.89,43.21
Jan–Dec 2025,2025,Total,85.9,86.69,85.24,68.76,68.88,68.78,50.11,49.44,50.87
Jan–Dec 2025,2025,15-17,87.43,85.86,89.59,71.03,72.76,70.27,53.08,56.3,50.61
Jan–Dec 2025,2025,18-24,88.75,88.1,89.48,69.55,68.35,70.85,48.91,46.69,51.34
Jan–Dec 2025,2025,25-34,89.43,89.4,89.5,70.29,68.32,72.36,50.09,47.45,52.82
Jan–Dec 2025,2025,35-44,88.7,89.12,88.34,68.43,67.08,69.82,47.64,45.57,49.64
Jan–Dec 2025,2025,45-54,89.25,90.27,88.27,71.54,71.58,71.51,52.65,52.01,53.33
Jan–Dec 2025,2025,55-64,87.45,87.98,87.03,73.45,73.72,73.25,56.86,55.53,58.19
Jan–Dec 2025,2025,65+,75.43,77.9,73.54,61.85,65.04,59.29,45.99,48.57,43.9
