comparison,activity,year_a_label,year_a_pct,year_b_label,year_b_pct,change
2023/24 vs 2024/25,Adventure racing,2023/24FY,0.16,2024/25FY,0.19,0.03
2023/24 vs 2024/25,Air sports,2023/24FY,0.33,2024/25FY,0.32,-0.010000000000000009
2023/24 vs 2024/25,Archery,2023/24FY,0.24,2024/25FY,0.22,-0.01999999999999999
2023/24 vs 2024/25,"Athletics, track and field",2023/24FY,1.45,2024/25FY,1.31,-0.1399999999999999
2023/24 vs 2024/25,Australian football,2023/24FY,2.57,2024/25FY,2.63,0.06000000000000005
2023/24 vs 2024/25,Badminton,2023/24FY,1.79,2024/25FY,1.74,-0.050000000000000044
2023/24 vs 2024/25,Baseball,2023/24FY,0.35,2024/25FY,0.35,0.0
2023/24 vs 2024/25,Basketball,2023/24FY,4.82,2024/25FY,4.63,-0.1900000000000004
2023/24 vs 2024/25,Baton twirling,2023/24FY,0.03,2024/25FY,0.03,0.0
2023/24 vs 2024/25,Biathlon,2023/24FY,0.01,2024/25FY,0.01,0.0
2023/24 vs 2024/25,Billiards/Snooker/Pool,2023/24FY,0.35,2024/25FY,0.31,-0.03999999999999998
2023/24 vs 2024/25,BMX,2023/24FY,0.05,2024/25FY,0.03,-0.020000000000000004
2023/24 vs 2024/25,Bobsledding,2023/24FY,0.0,2024/25FY,0.0,0.0
2023/24 vs 2024/25,Bocce/Boules,2023/24FY,0.03,2024/25FY,0.01,-0.019999999999999997
2023/24 vs 2024/25,Boccia,2023/24FY,0.0,2024/25FY,0.0,0.0
2023/24 vs 2024/25,Body building,2023/24FY,0.05,2024/25FY,0.03,-0.020000000000000004
2023/24 vs 2024/25,Boomerang throwing,2023/24FY,0.01,2024/25FY,0.02,0.01
2023/24 vs 2024/25,Bowls,2023/24FY,0.87,2024/25FY,0.93,0.06000000000000005
2023/24 vs 2024/25,Boxing,2023/24FY,0.89,2024/25FY,0.9,0.010000000000000009
2023/24 vs 2024/25,Broomball,2023/24FY,0.0,2024/25FY,0.01,0.01
2023/24 vs 2024/25,Bush walking,2023/24FY,16.96,2024/25FY,17.19,0.23000000000000043
2023/24 vs 2024/25,Calisthenics,2023/24FY,0.23,2024/25FY,0.26,0.03
2023/24 vs 2024/25,Campdrafting,2023/24FY,0.03,2024/25FY,0.02,-0.009999999999999998
2023/24 vs 2024/25,Canoeing/Kayaking,2023/24FY,0.96,2024/25FY,1.0,0.040000000000000036
2023/24 vs 2024/25,Circus,2023/24FY,0.04,2024/25FY,0.04,0.0
2023/24 vs 2024/25,Cricket,2023/24FY,2.47,2024/25FY,2.43,-0.040000000000000036
2023/24 vs 2024/25,Croquet,2023/24FY,0.07,2024/25FY,0.07,0.0
2023/24 vs 2024/25,Crossfit,2023/24FY,0.62,2024/25FY,0.63,0.010000000000000009
2023/24 vs 2024/25,Curling,2023/24FY,0.02,2024/25FY,0.0,-0.02
2023/24 vs 2024/25,Cycling,2023/24FY,8.9,2024/25FY,8.45,-0.45000000000000107
2023/24 vs 2024/25,DanceSport,2023/24FY,1.0,2024/25FY,1.1,0.10000000000000009
2023/24 vs 2024/25,Dancing (recreational),2023/24FY,1.62,2024/25FY,1.66,0.039999999999999813
2023/24 vs 2024/25,Darts,2023/24FY,0.16,2024/25FY,0.16,0.0
2023/24 vs 2024/25,Diving,2023/24FY,0.04,2024/25FY,0.05,0.010000000000000002
2023/24 vs 2024/25,Dodgeball,2023/24FY,0.08,2024/25FY,0.07,-0.009999999999999995
2023/24 vs 2024/25,Dragon boat racing,2023/24FY,0.06,2024/25FY,0.07,0.010000000000000009
