activity,age_group,pct,total_pct,rank
Walking (Recreational),15-17,30.348,50.204,1
Walking (Recreational),18-24,34.194,50.204,1
Walking (Recreational),25-34,41.86,50.204,1
Walking (Recreational),35-44,47.548,50.204,1
Walking (Recreational),45-54,58.668,50.204,1
Walking (Recreational),55-64,66.032,50.204,1
Walking (Recreational),65+,55.822,50.204,1
Fitness/Gym,15-17,37.322,34.102,2
Fitness/Gym,18-24,43.441,34.102,2
Fitness/Gym,25-34,42.064,34.102,2
Fitness/Gym,35-44,36.393,34.102,2
Fitness/Gym,45-54,32.926,34.102,2
Fitness/Gym,55-64,29.525,34.102,2
Fitness/Gym,65+,23.683,34.102,2
Bush walking,15-17,14.605,17.468,3
Bush walking,18-24,17.332,17.468,3
Bush walking,25-34,20.301,17.468,3
Bush walking,35-44,21.448,17.468,3
Bush walking,45-54,19.691,17.468,3
Bush walking,55-64,19.549,17.468,3
Bush walking,65+,9.568,17.468,3
Running/jogging,15-17,26.574,16.525,4
Running/jogging,18-24,26.653,16.525,4
Running/jogging,25-34,27.663,16.525,4
Running/jogging,35-44,20.854,16.525,4
Running/jogging,45-54,15.772,16.525,4
Running/jogging,55-64,8.462,16.525,4
Running/jogging,65+,1.838,16.525,4
Swimming,15-17,17.616,15.39,5
Swimming,18-24,16.339,15.39,5
Swimming,25-34,16.584,15.39,5
Swimming,35-44,18.312,15.39,5
Swimming,45-54,16.664,15.39,5
Swimming,55-64,15.991,15.39,5
Swimming,65+,9.735,15.39,5
Cycling,15-17,6.657,8.294,6
Cycling,18-24,5.59,8.294,6
Cycling,25-34,7.121,8.294,6
Cycling,35-44,9.259,8.294,6
Cycling,45-54,11.588,8.294,6
Cycling,55-64,11.952,8.294,6
Cycling,65+,5.576,8.294,6
Pilates,15-17,3.749,7.181,7
Pilates,18-24,8.757,7.181,7
Pilates,25-34,11.019,7.181,7
Pilates,35-44,8.713,7.181,7
Pilates,45-54,7.13,7.181,7
Pilates,55-64,6.259,7.181,7
Pilates,65+,3.191,7.181,7
Football/soccer,15-17,17.015,5.624,8
Football/soccer,18-24,12.326,5.624,8
Football/soccer,25-34,9.355,5.624,8
Football/soccer,35-44,6.942,5.624,8
Football/soccer,45-54,3.278,5.624,8
Football/soccer,55-64,0.955,5.624,8
Football/soccer,65+,0.136,5.624,8
Yoga,15-17,2.598,5.072,9
