activity,entity_type,pct,total_organised
"Athletics, track and field",Sports club,0.255,0.765
"Athletics, track and field",Recreation club,0.119,0.765
"Athletics, track and field",Gym/fitness centre,0.112,0.765
"Athletics, track and field",Private/commercial,0.093,0.765
"Athletics, track and field",Personal trainer,0.148,0.765
"Athletics, track and field",Educational institution,0.208,0.765
Australian football,Sports club,0.989,1.72
Australian football,Recreation club,0.257,1.72
Australian football,Gym/fitness centre,0.212,1.72
Australian football,Private/commercial,0.119,1.72
Australian football,Personal trainer,0.166,1.72
Australian football,Educational institution,0.231,1.72
Badminton,Sports club,0.183,0.798
Badminton,Recreation club,0.103,0.798
Badminton,Gym/fitness centre,0.06,0.798
Badminton,Private/commercial,0.035,0.798
Badminton,Personal trainer,0.068,0.798
Badminton,Educational institution,0.25,0.798
Basketball,Sports club,1.002,2.301
Basketball,Recreation club,0.429,2.301
Basketball,Gym/fitness centre,0.298,2.301
Basketball,Private/commercial,0.13,2.301
Basketball,Personal trainer,0.165,2.301
Basketball,Educational institution,0.484,2.301
Bowls,Sports club,0.451,0.711
Bowls,Recreation club,0.199,0.711
Bowls,Gym/fitness centre,0.023,0.711
Bowls,Private/commercial,0.005,0.711
Bowls,Personal trainer,0.029,0.711
Bowls,Educational institution,0.012,0.711
Boxing,Sports club,0.092,0.606
Boxing,Recreation club,0.025,0.606
Boxing,Gym/fitness centre,0.225,0.606
Boxing,Private/commercial,0.178,0.606
Boxing,Personal trainer,0.129,0.606
Boxing,Educational institution,0.012,0.606
Bush walking,Sports club,0.21,2.241
Bush walking,Recreation club,0.311,2.241
Bush walking,Gym/fitness centre,0.145,2.241
Bush walking,Private/commercial,0.313,2.241
Bush walking,Personal trainer,0.119,2.241
Bush walking,Educational institution,0.262,2.241
Cricket,Sports club,0.967,1.599
Cricket,Recreation club,0.241,1.599
Cricket,Gym/fitness centre,0.156,1.599
Cricket,Private/commercial,0.1,1.599
Cricket,Personal trainer,0.112,1.599
Cricket,Educational institution,0.265,1.599
Crossfit/Functional fitness,Sports club,0.032,0.54
Crossfit/Functional fitness,Recreation club,0.014,0.54
Crossfit/Functional fitness,Gym/fitness centre,0.28,0.54
Crossfit/Functional fitness,Private/commercial,0.212,0.54
Crossfit/Functional fitness,Personal trainer,0.048,0.54
Crossfit/Functional fitness,Educational institution,0.006,0.54
Cycling,Sports club,0.18,0.978
Cycling,Recreation club,0.141,0.978
Cycling,Gym/fitness centre,0.19,0.978
Cycling,Private/commercial,0.092,0.978
Cycling,Personal trainer,0.095,0.978
Cycling,Educational institution,0.05,0.978
DanceSport,Sports club,0.101,0.71
DanceSport,Recreation club,0.095,0.71
DanceSport,Gym/fitness centre,0.069,0.71
DanceSport,Private/commercial,0.319,0.71
DanceSport,Personal trainer,0.075,0.71
DanceSport,Educational institution,0.103,0.71
Dancing (recreational),Sports club,0.081,1.083
Dancing (recreational),Recreation club,0.122,1.083
Dancing (recreational),Gym/fitness centre,0.109,1.083
Dancing (recreational),Private/commercial,0.554,1.083
Dancing (recreational),Personal trainer,0.127,1.083
Dancing (recreational),Educational institution,0.099,1.083
Fitness/Gym,Sports club,0.881,13.499
Fitness/Gym,Recreation club,0.613,13.499
Fitness/Gym,Gym/fitness centre,6.502,13.499
Fitness/Gym,Private/commercial,2.949,13.499
Fitness/Gym,Personal trainer,3.155,13.499
Fitness/Gym,Educational institution,0.424,13.499
Football/soccer,Sports club,1.788,3.618
Football/soccer,Recreation club,0.668,3.618
Football/soccer,Gym/fitness centre,0.413,3.618
Football/soccer,Private/commercial,0.21,3.618
