activity,total_pct,male_pct,female_pct,organised_pct,organised_ratio,informal_ratio
Hockey,0.512,0.507,0.522,0.484,94.5,5.5
Netball,2.107,0.685,3.495,1.853,87.9,12.1
Bowls,0.834,1.11,0.575,0.711,85.3,14.7
Crossfit/Functional fitness,0.648,0.547,0.747,0.54,83.3,16.7
Rugby union,0.374,0.603,0.155,0.306,81.8,18.2
Pilates,7.181,1.207,12.993,5.56,77.4,22.6
Touch football,0.712,0.918,0.518,0.538,75.6,24.4
Boxing,0.848,0.972,0.728,0.606,71.5,28.5
Australian football,2.417,3.807,1.084,1.72,71.2,28.8
Martial arts,0.626,0.552,0.703,0.44,70.3,29.7
Rugby league,0.763,1.209,0.338,0.534,70.0,30.0
Baseball,0.309,0.467,0.159,0.206,66.7,33.3
Volleyball (indoor and outdoor),1.307,1.55,1.057,0.871,66.6,33.4
Dancing (recreational),1.629,0.491,2.717,1.083,66.5,33.5
Football/soccer,5.624,8.871,2.499,3.618,64.3,35.7
Cricket,2.492,4.249,0.796,1.599,64.2,35.8
DanceSport,1.123,0.276,1.916,0.71,63.2,36.8
Gymnastics,0.54,0.332,0.742,0.328,60.7,39.3
"Athletics, track and field",1.318,1.739,0.921,0.765,58.0,42.0
Yoga,5.072,1.59,8.466,2.907,57.3,42.7
Equestrian,0.442,0.141,0.738,0.252,57.0,43.0
Pickleball/padel,1.314,1.324,1.311,0.679,51.7,48.3
Basketball,4.526,6.836,2.303,2.301,50.8,49.2
Sailing,0.327,0.459,0.202,0.166,50.8,49.2
Golf,4.563,7.555,1.685,2.257,49.5,50.5
Underwater sports,0.836,0.836,0.844,0.372,44.5,55.5
Badminton,1.886,2.227,1.559,0.798,42.3,57.7
Fitness/Gym,34.102,33.102,35.078,13.499,39.6,60.4
Tennis,4.941,5.842,4.103,1.95,39.5,60.5
Squash,0.39,0.569,0.216,0.153,39.2,60.8
Tenpin bowling,0.629,0.655,0.61,0.244,38.8,61.2
Rock climbing/Abseiling/Caving,0.457,0.534,0.36,0.157,34.4,65.6
Table tennis,1.79,2.534,1.08,0.593,33.1,66.9
Motor cycling,0.947,1.376,0.521,0.306,32.3,67.7
Rowing,0.585,0.687,0.488,0.187,32.0,68.0
Sport climbing,0.542,0.664,0.411,0.165,30.4,69.6
Running/jogging,16.525,18.975,14.157,4.923,29.8,70.2
Canoeing/Kayaking,0.997,1.034,0.959,0.253,25.4,74.6
Weight lifting,0.982,1.073,0.876,0.218,22.2,77.8
Skate,0.396,0.386,0.375,0.077,19.4,80.6
Billiards/Snooker/Pool,0.304,0.425,0.189,0.058,19.1,80.9
Swimming,15.39,14.513,16.263,2.672,17.4,82.6
Ski & snowboard,0.812,0.964,0.671,0.14,17.2,82.8
Virtual based physical activity,0.95,0.966,0.921,0.163,17.2,82.8
Calisthenics,0.359,0.557,0.171,0.055,15.3,84.7
Surfing,1.385,1.731,1.059,0.196,14.2,85.8
Bush walking,17.468,16.302,18.6,2.241,12.8,87.2
Mountain biking,0.726,1.182,0.285,0.089,12.3,87.7
Fishing (recreational),1.07,1.694,0.466,0.127,11.9,88.1
Cycling,8.294,10.432,6.252,0.978,11.8,88.2
Walking (Recreational),50.204,42.494,57.753,4.212,8.4,91.6
