period,year_label,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
Jul 2023–Jun 2024,2023/24,Adventure racing,0.157,0.237,0.066,0.18,0.253,0.357,0.253,0.075,0.018,0.008
Jul 2023–Jun 2024,2023/24,Air sports,0.332,0.471,0.197,0.479,0.498,0.654,0.538,0.121,0.133,0.06
Jul 2023–Jun 2024,2023/24,Archery,0.24,0.297,0.169,0.219,0.315,0.472,0.263,0.155,0.181,0.088
Jul 2023–Jun 2024,2023/24,"Athletics, track and field",1.455,1.799,1.098,5.95,3.193,2.059,1.653,0.804,0.377,0.12
Jul 2023–Jun 2024,2023/24,Australian football,2.567,4.099,1.096,5.574,6.227,4.882,2.97,1.174,0.533,0.109
Jul 2023–Jun 2024,2023/24,Badminton,1.792,2.046,1.529,7.939,3.618,2.994,1.682,0.924,0.424,0.154
Jul 2023–Jun 2024,2023/24,Baseball,0.35,0.578,0.133,0.867,0.652,0.668,0.429,0.233,0.073,0.018
Jul 2023–Jun 2024,2023/24,Basketball,4.822,7.073,2.631,18.276,12.079,6.966,5.405,2.589,0.791,0.241
Jul 2023–Jun 2024,2023/24,Baton twirling,0.029,0.035,0.023,0.0,0.042,0.109,0.014,0.015,0.0,0.0
Jul 2023–Jun 2024,2023/24,Biathlon,0.008,0.011,0.005,0.0,0.023,0.015,0.015,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Billiards/Snooker/Pool,0.353,0.464,0.242,0.839,0.557,0.441,0.339,0.226,0.388,0.151
Jul 2023–Jun 2024,2023/24,BMX,0.051,0.075,0.028,0.149,0.093,0.066,0.043,0.093,0.0,0.006
Jul 2023–Jun 2024,2023/24,Bobsledding,0.003,0.005,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Bocce/Boules,0.025,0.018,0.032,0.0,0.0,0.0,0.0,0.048,0.016,0.075
Jul 2023–Jun 2024,2023/24,Boccia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Body building,0.051,0.088,0.011,0.13,0.059,0.095,0.07,0.044,0.025,0.0
Jul 2023–Jun 2024,2023/24,Boomerang throwing,0.007,0.014,0.0,0.0,0.0,0.014,0.014,0.015,0.0,0.0
Jul 2023–Jun 2024,2023/24,Bowls,0.872,1.174,0.584,0.179,0.109,0.29,0.247,0.477,1.031,2.598
Jul 2023–Jun 2024,2023/24,Boxing,0.887,1.012,0.769,1.849,1.794,1.443,1.101,0.584,0.474,0.063
Jul 2023–Jun 2024,2023/24,Broomball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Bush walking,16.958,15.89,17.998,15.914,15.808,21.347,18.875,19.608,18.856,9.263
Jul 2023–Jun 2024,2023/24,Calisthenics,0.233,0.355,0.109,0.378,0.776,0.321,0.288,0.076,0.054,0.034
Jul 2023–Jun 2024,2023/24,Campdrafting,0.031,0.058,0.005,0.0,0.024,0.073,0.088,0.0,0.0,0.0
Jul 2023–Jun 2024,2023/24,Canoeing/Kayaking,0.962,1.07,0.869,1.873,0.602,1.08,0.979,1.27,1.126,0.507
Jul 2023–Jun 2024,2023/24,Circus,0.036,0.014,0.054,0.0,0.068,0.096,0.039,0.018,0.016,0.0
Jul 2023–Jun 2024,2023/24,Cricket,2.474,4.251,0.761,6.596,4.345,3.814,3.344,1.916,0.784,0.319
Jul 2023–Jun 2024,2023/24,Croquet,0.074,0.079,0.07,0.0,0.044,0.038,0.015,0.017,0.048,0.243
