period,year_label,activity,total_pct,rank
Jul 2023–Jun 2024,2023/24,Walking (Recreational),49.46,1
Jul 2023–Jun 2024,2023/24,Fitness/Gym,29.324,2
Jul 2023–Jun 2024,2023/24,Bush walking,16.958,3
Jul 2023–Jun 2024,2023/24,Running/jogging,15.888,4
Jul 2023–Jun 2024,2023/24,Swimming,15.239,5
Jul 2023–Jun 2024,2023/24,Cycling,8.897,6
Jul 2023–Jun 2024,2023/24,Football/soccer,5.629,7
Jul 2023–Jun 2024,2023/24,Pilates,5.059,8
Jul 2023–Jun 2024,2023/24,Yoga,4.894,9
Jul 2023–Jun 2024,2023/24,Basketball,4.822,10
Jul 2023–Jun 2024,2023/24,Tennis,4.81,11
Jul 2023–Jun 2024,2023/24,Golf,4.364,12
Jul 2023–Jun 2024,2023/24,Australian football,2.567,13
Jul 2023–Jun 2024,2023/24,Cricket,2.474,14
Jul 2023–Jun 2024,2023/24,Netball,2.021,15
Jul 2023–Jun 2024,2023/24,Badminton,1.792,16
Jul 2023–Jun 2024,2023/24,Dancing (recreational),1.618,17
Jul 2023–Jun 2024,2023/24,Table tennis,1.612,18
Jul 2023–Jun 2024,2023/24,"Athletics, track and field",1.455,19
Jul 2023–Jun 2024,2023/24,Surfing,1.422,20
Jul 2023–Jun 2024,2023/24,Weight lifting,1.385,21
Jul 2023–Jun 2024,2023/24,Volleyball (indoor and outdoor),1.375,22
Jul 2023–Jun 2024,2023/24,Fishing (recreational),1.12,23
Jul 2023–Jun 2024,2023/24,Motor cycling,1.075,24
Jul 2023–Jun 2024,2023/24,Virtual based physical activity,1.024,25
Jul 2023–Jun 2024,2023/24,DanceSport,1.002,26
Jul 2023–Jun 2024,2023/24,Canoeing/Kayaking,0.962,27
Jul 2023–Jun 2024,2023/24,Boxing,0.887,28
Jul 2023–Jun 2024,2023/24,Bowls,0.872,29
Jul 2023–Jun 2024,2023/24,Rugby league,0.796,30
Jul 2023–Jun 2024,2023/24,Ski & snowboard,0.794,31
Jul 2023–Jun 2024,2023/24,Underwater sports,0.748,33
Jan–Dec 2024,2024,Walking (Recreational),49.926,1
Jan–Dec 2024,2024,Fitness/Gym,30.331,2
Jan–Dec 2024,2024,Bush walking,16.857,3
Jan–Dec 2024,2024,Running/jogging,15.988,4
Jan–Dec 2024,2024,Swimming,15.191,5
Jan–Dec 2024,2024,Cycling,8.589,6
Jan–Dec 2024,2024,Pilates,5.788,7
Jan–Dec 2024,2024,Football/soccer,5.437,8
Jan–Dec 2024,2024,Tennis,5.081,9
Jan–Dec 2024,2024,Yoga,4.98,10
Jan–Dec 2024,2024,Basketball,4.734,11
Jan–Dec 2024,2024,Golf,4.685,12
Jan–Dec 2024,2024,Australian football,2.609,13
Jan–Dec 2024,2024,Cricket,2.419,14
Jan–Dec 2024,2024,Netball,2.1,15
Jan–Dec 2024,2024,Badminton,1.848,16
Jan–Dec 2024,2024,Dancing (recreational),1.778,17
Jan–Dec 2024,2024,Table tennis,1.639,18
Jan–Dec 2024,2024,"Athletics, track and field",1.51,19
Jan–Dec 2024,2024,Weight lifting,1.448,20
Jan–Dec 2024,2024,Volleyball (indoor and outdoor),1.426,21
Jan–Dec 2024,2024,Surfing,1.382,22
Jan–Dec 2024,2024,Fishing (recreational),1.21,23
Jan–Dec 2024,2024,Motor cycling,1.095,24
Jan–Dec 2024,2024,DanceSport,1.047,25
Jan–Dec 2024,2024,Virtual based physical activity,1.03,26
Jan–Dec 2024,2024,Canoeing/Kayaking,0.963,27
Jan–Dec 2024,2024,Boxing,0.893,28
Jan–Dec 2024,2024,Bowls,0.885,29
Jan–Dec 2024,2024,Ski & snowboard,0.83,30
Jan–Dec 2024,2024,Underwater sports,0.808,31
Jan–Dec 2024,2024,Rugby league,0.747,33
Jul 2024–Jun 2025,2024/25,Walking (Recreational),50.146,1
Jul 2024–Jun 2025,2024/25,Fitness/Gym,31.364,2
Jul 2024–Jun 2025,2024/25,Bush walking,17.193,3
Jul 2024–Jun 2025,2024/25,Running/jogging,16.283,4
Jul 2024–Jun 2025,2024/25,Swimming,15.306,5
Jul 2024–Jun 2025,2024/25,Cycling,8.452,6
Jul 2024–Jun 2025,2024/25,Pilates,6.447,7
Jul 2024–Jun 2025,2024/25,Football/soccer,5.502,8
Jul 2024–Jun 2025,2024/25,Tennis,5.145,9
Jul 2024–Jun 2025,2024/25,Yoga,4.976,10
Jul 2024–Jun 2025,2024/25,Golf,4.75,11
Jul 2024–Jun 2025,2024/25,Basketball,4.633,12
Jul 2024–Jun 2025,2024/25,Australian football,2.627,13
Jul 2024–Jun 2025,2024/25,Cricket,2.431,14
Jul 2024–Jun 2025,2024/25,Netball,2.161,15
Jul 2024–Jun 2025,2024/25,Badminton,1.744,16
Jul 2024–Jun 2025,2024/25,Table tennis,1.697,17
Jul 2024–Jun 2025,2024/25,Dancing (recreational),1.661,18
Jul 2024–Jun 2025,2024/25,Weight lifting,1.456,19
Jul 2024–Jun 2025,2024/25,Surfing,1.373,20
Jul 2024–Jun 2025,2024/25,"Athletics, track and field",1.309,21
Jul 2024–Jun 2025,2024/25,Volleyball (indoor and outdoor),1.301,22
Jul 2024–Jun 2025,2024/25,Fishing (recreational),1.264,23
Jul 2024–Jun 2025,2024/25,DanceSport,1.102,24
Jul 2024–Jun 2025,2024/25,Motor cycling,1.054,25
Jul 2024–Jun 2025,2024/25,Pickleball/padel,1.047,26
Jul 2024–Jun 2025,2024/25,Canoeing/Kayaking,1.0,27
Jul 2024–Jun 2025,2024/25,Bowls,0.934,28
Jul 2024–Jun 2025,2024/25,Virtual based physical activity,0.914,29
Jul 2024–Jun 2025,2024/25,Boxing,0.902,30
Jul 2024–Jun 2025,2024/25,Ski & snowboard,0.861,31
Jul 2024–Jun 2025,2024/25,Underwater sports,0.849,32
Jul 2024–Jun 2025,2024/25,Rugby league,0.744,34
Jan–Dec 2025,2025,Walking (Recreational),50.204,1
Jan–Dec 2025,2025,Fitness/Gym,34.102,2
Jan–Dec 2025,2025,Bush walking,17.468,3
Jan–Dec 2025,2025,Running/jogging,16.525,4
Jan–Dec 2025,2025,Swimming,15.39,5
Jan–Dec 2025,2025,Cycling,8.294,6
Jan–Dec 2025,2025,Pilates,7.181,7
Jan–Dec 2025,2025,Football/soccer,5.624,8
Jan–Dec 2025,2025,Yoga,5.072,9
Jan–Dec 2025,2025,Tennis,4.941,10
Jan–Dec 2025,2025,Golf,4.563,11
Jan–Dec 2025,2025,Basketball,4.526,12
Jan–Dec 2025,2025,Cricket,2.492,13
Jan–Dec 2025,2025,Australian football,2.417,14
Jan–Dec 2025,2025,Netball,2.107,15
Jan–Dec 2025,2025,Badminton,1.886,16
Jan–Dec 2025,2025,Table tennis,1.79,17
Jan–Dec 2025,2025,Dancing (recreational),1.629,18
Jan–Dec 2025,2025,Surfing,1.385,19
Jan–Dec 2025,2025,"Athletics, track and field",1.318,20
Jan–Dec 2025,2025,Pickleball/padel,1.314,21
Jan–Dec 2025,2025,Volleyball (indoor and outdoor),1.307,22
Jan–Dec 2025,2025,DanceSport,1.123,23
Jan–Dec 2025,2025,Fishing (recreational),1.07,24
Jan–Dec 2025,2025,Canoeing/Kayaking,0.997,25
Jan–Dec 2025,2025,Weight lifting,0.982,26
Jan–Dec 2025,2025,Virtual based physical activity,0.95,27
Jan–Dec 2025,2025,Motor cycling,0.947,28
Jan–Dec 2025,2025,Boxing,0.848,29
Jan–Dec 2025,2025,Underwater sports,0.836,30
Jan–Dec 2025,2025,Bowls,0.834,31
Jan–Dec 2025,2025,Ski & snowboard,0.812,32
Jan–Dec 2025,2025,Rugby league,0.763,33
