activity,2023/24,2024,2024/25,2025,rank_2025
Walking (Recreational),49.46,49.926,50.146,50.204,1
Fitness/Gym,29.324,30.331,31.364,34.102,2
Bush walking,16.958,16.857,17.193,17.468,3
Running/jogging,15.888,15.988,16.283,16.525,4
Swimming,15.239,15.191,15.306,15.39,5
Cycling,8.897,8.589,8.452,8.294,6
Pilates,5.059,5.788,6.447,7.181,7
Football/soccer,5.629,5.437,5.502,5.624,8
Yoga,4.894,4.98,4.976,5.072,9
Tennis,4.81,5.081,5.145,4.941,10
Golf,4.364,4.685,4.75,4.563,11
Basketball,4.822,4.734,4.633,4.526,12
Cricket,2.474,2.419,2.431,2.492,13
Australian football,2.567,2.609,2.627,2.417,14
Netball,2.021,2.1,2.161,2.107,15
Badminton,1.792,1.848,1.744,1.886,16
Table tennis,1.612,1.639,1.697,1.79,17
Dancing (recreational),1.618,1.778,1.661,1.629,18
Surfing,1.422,1.382,1.373,1.385,19
"Athletics, track and field",1.455,1.51,1.309,1.318,20
Pickleball/padel,,,1.047,1.314,21
Volleyball (indoor and outdoor),1.375,1.426,1.301,1.307,22
DanceSport,1.002,1.047,1.102,1.123,23
Fishing (recreational),1.12,1.21,1.264,1.07,24
Canoeing/Kayaking,0.962,0.963,1.0,0.997,25
Weight lifting,1.385,1.448,1.456,0.982,26
Virtual based physical activity,1.024,1.03,0.914,0.95,27
Motor cycling,1.075,1.095,1.054,0.947,28
Boxing,0.887,0.893,0.902,0.848,29
Underwater sports,0.748,0.808,0.849,0.836,30
