comparison,activity,year_a,pct_a,year_b,pct_b,change_pp
2023/24 vs 2024/25,Adventure racing,2023/24,0.157,2024/25,0.189,0.032
2023/24 vs 2024/25,Air sports,2023/24,0.332,2024/25,0.321,-0.011
2023/24 vs 2024/25,Archery,2023/24,0.24,2024/25,0.22,-0.02
2023/24 vs 2024/25,"Athletics, track and field",2023/24,1.455,2024/25,1.309,-0.146
2023/24 vs 2024/25,Australian football,2023/24,2.567,2024/25,2.627,0.06
2023/24 vs 2024/25,Badminton,2023/24,1.792,2024/25,1.744,-0.048
2023/24 vs 2024/25,Baseball,2023/24,0.35,2024/25,0.35,0.0
2023/24 vs 2024/25,Basketball,2023/24,4.822,2024/25,4.633,-0.189
2023/24 vs 2024/25,Baton twirling,2023/24,0.029,2024/25,0.026,-0.003
2023/24 vs 2024/25,Biathlon,2023/24,0.008,2024/25,0.009,0.001
2023/24 vs 2024/25,Billiards/Snooker/Pool,2023/24,0.353,2024/25,0.308,-0.045
2023/24 vs 2024/25,BMX,2023/24,0.051,2024/25,0.029,-0.022
2023/24 vs 2024/25,Bobsledding,2023/24,0.003,2024/25,0.0,-0.003
2023/24 vs 2024/25,Bocce/Boules,2023/24,0.025,2024/25,0.011,-0.014
2023/24 vs 2024/25,Boccia,2023/24,0.0,2024/25,0.0,0.0
2023/24 vs 2024/25,Body building,2023/24,0.051,2024/25,0.032,-0.019
2023/24 vs 2024/25,Boomerang throwing,2023/24,0.007,2024/25,0.018,0.011
2023/24 vs 2024/25,Bowls,2023/24,0.872,2024/25,0.934,0.062
2023/24 vs 2024/25,Boxing,2023/24,0.887,2024/25,0.902,0.015
2023/24 vs 2024/25,Broomball,2023/24,0.0,2024/25,0.005,0.005
2023/24 vs 2024/25,Bush walking,2023/24,16.958,2024/25,17.193,0.235
2023/24 vs 2024/25,Calisthenics,2023/24,0.233,2024/25,0.258,0.025
2023/24 vs 2024/25,Campdrafting,2023/24,0.031,2024/25,0.021,-0.01
2023/24 vs 2024/25,Canoeing/Kayaking,2023/24,0.962,2024/25,1.0,0.038
2023/24 vs 2024/25,Circus,2023/24,0.036,2024/25,0.041,0.005
2023/24 vs 2024/25,Cricket,2023/24,2.474,2024/25,2.431,-0.043
2023/24 vs 2024/25,Croquet,2023/24,0.074,2024/25,0.068,-0.006
2023/24 vs 2024/25,Crossfit,2023/24,0.622,2024/25,0.634,0.012
2023/24 vs 2024/25,Curling,2023/24,0.02,2024/25,0.005,-0.015
2023/24 vs 2024/25,Cycling,2023/24,8.897,2024/25,8.452,-0.445
2023/24 vs 2024/25,DanceSport,2023/24,1.002,2024/25,1.102,0.1
2023/24 vs 2024/25,Dancing (recreational),2023/24,1.618,2024/25,1.661,0.043
2023/24 vs 2024/25,Darts,2023/24,0.161,2024/25,0.161,0.0
2023/24 vs 2024/25,Diving,2023/24,0.039,2024/25,0.051,0.012
2023/24 vs 2024/25,Dodgeball,2023/24,0.082,2024/25,0.069,-0.013
2023/24 vs 2024/25,Dragon boat racing,2023/24,0.056,2024/25,0.069,0.013
2023/24 vs 2024/25,Eight ball,2023/24,0.036,2024/25,0.028,-0.008
2023/24 vs 2024/25,Equestrian,2023/24,0.44,2024/25,0.475,0.035
2023/24 vs 2024/25,eSports,2023/24,0.297,2024/25,0.259,-0.038
2023/24 vs 2024/25,Fencing,2023/24,0.048,2024/25,0.062,0.014
2023/24 vs 2024/25,Fishing (recreational),2023/24,1.12,2024/25,1.264,0.144
2023/24 vs 2024/25,Fitness/Gym,2023/24,29.324,2024/25,31.364,2.04
2023/24 vs 2024/25,Floorball,2023/24,0.009,2024/25,0.009,0.0
2023/24 vs 2024/25,Flying disc,2023/24,0.255,2024/25,0.247,-0.008
2023/24 vs 2024/25,Football/soccer,2023/24,5.629,2024/25,5.502,-0.127
2023/24 vs 2024/25,Gaelic football,2023/24,0.047,2024/25,0.048,0.001
2023/24 vs 2024/25,Geocaching,2023/24,0.024,2024/25,0.023,-0.001
2023/24 vs 2024/25,Goalball,2023/24,0.004,2024/25,0.017,0.013
2023/24 vs 2024/25,Golf,2023/24,4.364,2024/25,4.75,0.386
2023/24 vs 2024/25,Gridiron,2023/24,0.044,2024/25,0.052,0.008
2023/24 vs 2024/25,Guides,2023/24,0.009,2024/25,0.007,-0.002
2023/24 vs 2024/25,Gymnastics,2023/24,0.525,2024/25,0.556,0.031
2023/24 vs 2024/25,Handball,2023/24,0.142,2024/25,0.142,0.0
2023/24 vs 2024/25,Harness racing,2023/24,0.021,2024/25,0.012,-0.009
2023/24 vs 2024/25,Hockey,2023/24,0.517,2024/25,0.482,-0.035
