state,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,gender_gap
ACT,Walking (Recreational),56.63,47.51,66.56,23.61,41.35,51.95,52.74,68.4,69.14,64.89,-19.050000000000004
ACT,Fitness/Gym,40.46,35.88,45.62,49.06,48.48,39.65,44.29,38.32,32.62,38.38,-9.739999999999995
ACT,Bush walking,24.52,20.85,28.34,0.0,23.69,27.89,26.45,30.64,25.08,13.51,-7.489999999999998
ACT,Running/jogging,23.02,25.79,20.49,23.61,37.41,33.91,25.37,22.02,9.97,2.02,5.300000000000001
ACT,Swimming,17.47,13.88,20.98,26.23,16.44,19.56,16.21,22.9,16.89,9.65,-7.1
ACT,Cycling,14.06,16.11,12.25,0.0,6.38,12.39,18.67,16.67,20.3,9.48,3.8599999999999994
ACT,Pilates,8.94,1.03,17.42,0.0,10.99,10.58,9.71,6.43,12.11,3.17,-16.39
ACT,Football/soccer,5.95,7.72,4.23,11.42,15.99,8.05,6.4,2.02,1.77,0.0,3.4899999999999993
ACT,Yoga,5.39,2.36,8.76,0.0,3.76,8.58,4.47,5.33,6.98,1.59,-6.4
ACT,Basketball,4.47,6.73,1.79,0.0,14.18,5.43,4.86,1.89,1.16,0.5,4.94
ACT,Australian football,1.39,2.23,0.53,0.0,3.2,2.3,1.47,1.21,0.0,0.0,1.7
ACT,Golf,4.63,7.08,1.74,11.42,0.84,3.31,4.08,6.13,6.33,6.56,5.34
ACT,Tennis,5.16,5.42,5.02,14.09,7.74,7.21,4.24,4.09,2.76,2.61,0.40000000000000036
ACT,Netball,1.97,0.95,2.92,0.0,6.17,3.32,0.5,1.99,0.48,0.0,-1.97
ACT,Cricket,1.44,2.28,0.6,0.0,3.97,2.04,1.11,1.32,0.54,0.0,1.6799999999999997
ACT,Dancing (recreational),1.37,0.28,2.57,0.0,3.78,0.67,0.44,1.21,2.06,1.48,-2.29
ACT,Surfing,0.93,1.11,0.77,0.0,1.64,0.4,0.49,1.31,2.36,0.0,0.3400000000000001
ACT,Table tennis,2.13,3.08,1.17,14.09,3.64,3.19,1.56,0.76,0.55,0.61,1.9100000000000001
ACT,Volleyball (indoor and outdoor),0.82,0.93,0.73,0.0,2.33,0.7,1.44,0.0,0.56,0.0,0.20000000000000007
ACT,Weight lifting,1.96,2.08,1.89,0.0,3.8,3.99,0.0,3.5,0.56,0.0,0.19000000000000017
ACT,Bowls,0.29,0.58,0.0,0.0,0.64,0.0,0.0,0.0,0.55,1.05,0.58
ACT,Badminton,2.54,2.67,2.47,11.42,5.33,4.82,1.56,0.0,0.48,0.61,0.19999999999999973
ACT,Motor cycling,0.58,0.52,0.65,0.0,0.0,0.68,0.41,1.31,0.54,0.56,-0.13
ACT,Underwater sports,1.32,0.89,1.81,0.0,0.0,1.13,1.8,2.71,1.65,0.5,-0.92
ACT,Pickleball/padel,1.03,0.87,1.22,0.0,1.45,1.36,0.95,0.0,1.78,0.49,-0.35
NT,Walking (Recreational),49.04,35.71,60.21,26.01,44.59,38.52,46.14,60.52,63.6,55.01,-24.5
NT,Fitness/Gym,44.44,45.86,43.24,36.16,49.01,54.7,53.02,38.53,29.44,25.05,2.6199999999999974
NT,Bush walking,19.23,14.54,23.17,18.91,15.41,23.36,15.77,28.33,15.71,9.66,-8.630000000000003
NT,Running/jogging,20.24,21.3,19.34,26.01,37.13,33.04,19.52,13.98,4.73,1.88,1.9600000000000009
NT,Swimming,20.12,14.56,24.78,44.92,11.36,28.75,20.23,20.29,9.62,12.12,-10.22
NT,Cycling,14.28,14.34,14.22,0.0,11.56,14.73,12.13,25.55,10.38,13.0,0.11999999999999922
NT,Pilates,6.55,0.42,11.69,0.0,2.58,10.65,9.16,4.06,3.48,3.97,-11.27
NT,Football/soccer,5.26,9.06,2.07,18.96,4.87,9.88,6.48,1.17,0.0,0.0,6.99
NT,Yoga,8.1,2.06,13.16,0.0,0.0,11.15,12.03,11.58,2.2,3.75,-11.1
NT,Basketball,5.55,8.81,2.83,18.96,11.05,8.99,4.55,2.44,1.37,0.0,5.98
NT,Australian football,4.04,6.45,2.02,18.96,9.57,7.64,0.94,1.25,1.37,0.0,4.43
NT,Golf,5.42,7.04,4.07,26.01,4.37,2.25,3.59,8.79,4.89,7.87,2.9699999999999998
NT,Tennis,3.93,3.89,3.96,0.0,7.25,6.49,1.87,4.05,2.68,1.88,-0.06999999999999984
NT,Netball,2.67,0.9,4.15,0.0,7.67,6.17,1.75,0.0,0.0,0.0,-3.2500000000000004
NT,Cricket,2.56,5.61,0.0,17.2,4.2,4.15,0.91,1.18,1.12,0.0,5.61
NT,Dancing (recreational),1.2,0.51,1.77,0.0,1.99,0.0,2.93,0.0,2.18,0.0,-1.26
NT,Surfing,0.59,1.3,0.0,0.0,0.0,0.0,1.88,0.0,0.0,1.86,1.3
