activity,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
Australian football,1.39,1.33,4.04,1.41,3.69,3.21,4.13,4.38
Badminton,2.54,1.97,1.45,1.06,1.03,1.23,2.16,1.85
Basketball,4.47,4.53,5.55,3.52,4.18,3.62,5.86,4.57
Bowls,0.29,0.99,0.98,0.85,1.36,2.53,0.8,0.76
Bush walking,24.52,17.24,19.23,17.06,16.23,26.53,15.98,17.61
Cricket,1.44,2.52,2.56,1.89,2.59,2.29,2.74,2.53
Cycling,14.06,7.14,14.28,7.81,7.9,9.22,8.77,11.49
Dancing (recreational),1.37,1.63,1.2,1.32,1.66,2.12,1.86,1.9
Fitness/Gym,40.46,29.59,44.44,31.94,29.83,29.94,31.88,32.87
Football/soccer,5.95,7.11,5.26,4.26,4.09,3.83,4.94,5.74
Golf,4.63,4.95,5.42,4.36,4.41,4.93,5.04,4.34
Motor cycling,0.58,1.24,1.61,1.04,0.69,1.3,0.95,0.99
Netball,1.97,2.02,2.67,1.64,2.65,1.77,2.42,2.66
Pickleball/padel,1.03,1.16,0.54,1.07,0.59,1.22,1.07,0.93
Pilates,8.94,5.97,6.55,5.65,6.3,4.87,7.57,6.65
Running/jogging,23.02,15.63,20.24,15.99,14.59,17.81,16.97,16.45
Surfing,0.93,1.68,0.59,1.4,1.08,1.59,0.9,1.84
Swimming,17.47,16.87,20.12,16.51,11.06,14.78,12.91,16.28
Table tennis,2.13,1.79,1.89,1.13,1.44,1.13,2.19,1.51
Tennis,5.16,5.99,3.93,4.25,4.77,3.7,5.62,3.9
Underwater sports,1.32,0.81,1.87,0.74,0.65,1.08,0.67,1.49
Volleyball (indoor and outdoor),0.82,1.25,3.02,1.48,1.06,0.53,1.07,1.9
Walking (Recreational),56.63,48.24,49.04,49.7,53.17,52.85,51.2,50.56
Weight lifting,1.96,1.46,1.16,1.45,1.18,1.51,1.56,1.33
Yoga,5.39,4.97,8.1,4.96,4.21,4.97,5.1,4.89
