state,age_group,annual_total,annual_male,annual_female,weekly_total
ACT,15-17,63.15,60.46,67.38,63.15
ACT,18-24,93.71,92.76,94.24,80.2
ACT,25-34,92.46,89.42,96.33,78.09
ACT,35-44,91.65,90.01,93.09,75.49
ACT,45-54,95.29,93.82,96.43,82.83
ACT,55-64,89.88,84.06,95.54,75.82
ACT,65+,89.15,86.48,92.68,73.98
NSW,15-17,86.99,85.23,90.12,69.68
NSW,18-24,86.68,84.76,88.71,64.62
NSW,25-34,89.82,89.35,90.33,66.23
NSW,35-44,88.91,89.28,88.67,67.48
NSW,45-54,88.56,89.26,87.92,70.18
NSW,55-64,86.6,86.47,86.67,70.58
NSW,65+,73.65,77.53,70.44,59.71
NT,15-17,81.09,100.0,70.37,62.17
NT,18-24,93.52,85.27,100.0,73.76
NT,25-34,95.99,98.23,94.49,80.51
NT,35-44,93.54,91.88,94.94,77.04
NT,45-54,94.81,96.92,92.94,73.92
NT,55-64,85.99,82.29,90.14,74.13
NT,65+,78.2,76.07,80.49,66.04
QLD,15-17,81.21,77.85,86.64,64.78
QLD,18-24,87.03,86.08,88.59,66.37
QLD,25-34,87.12,85.93,88.08,67.92
QLD,35-44,87.89,89.4,86.91,66.6
QLD,45-54,86.18,88.66,83.69,68.0
QLD,55-64,84.22,84.67,84.03,68.68
QLD,65+,73.05,74.8,71.57,61.39
SA,15-17,79.47,67.55,100.0,68.76
SA,18-24,88.83,87.24,90.86,70.28
SA,25-34,88.34,88.32,88.65,70.24
SA,35-44,86.96,84.84,89.08,64.32
SA,45-54,84.53,82.39,86.3,65.72
SA,55-64,79.77,79.97,79.86,64.28
SA,65+,81.95,78.6,85.01,62.89
TAS,15-17,71.58,82.14,49.79,64.53
TAS,18-24,86.3,82.71,89.69,69.54
TAS,25-34,92.77,92.71,92.72,72.89
TAS,35-44,85.9,83.88,88.25,66.28
TAS,45-54,88.81,88.36,89.22,64.08
TAS,55-64,88.41,84.88,91.6,74.1
TAS,65+,78.75,75.44,82.39,67.9
VIC,15-17,84.58,81.99,88.5,64.61
VIC,18-24,88.92,88.13,90.04,69.72
VIC,25-34,91.87,92.02,91.69,72.1
VIC,35-44,89.23,88.8,89.88,69.16
VIC,45-54,89.15,90.33,87.86,72.53
VIC,55-64,87.52,87.33,87.65,74.02
VIC,65+,78.04,81.77,75.36,63.68
WA,15-17,89.87,86.86,96.53,75.71
WA,18-24,87.56,86.45,88.64,69.17
WA,25-34,89.81,89.85,90.17,67.83
WA,35-44,89.42,89.36,89.42,68.83
WA,45-54,89.81,88.85,90.79,75.13
WA,55-64,87.75,87.42,88.06,73.52
WA,65+,76.57,81.05,73.14,62.97
