state,frequency,pct
ACT,1+/year,91.27
ACT,1+/month,87.23
ACT,1+/fortnight,84.1
ACT,1+/week,77.21
ACT,2+/week,68.13
ACT,3+/week,59.7
ACT,4+/week,48.72
ACT,5+/week,38.57
ACT,6+/week,29.29
ACT,7+/week,22.87
NSW,1+/year,85.05
NSW,1+/month,79.45
NSW,1+/fortnight,74.49
NSW,1+/week,66.18
NSW,2+/week,55.99
NSW,3+/week,47.04
NSW,4+/week,38.51
NSW,5+/week,31.23
NSW,6+/week,23.86
NSW,7+/week,17.82
NT,1+/year,91.58
NT,1+/month,87.56
NT,1+/fortnight,84.23
NT,1+/week,75.3
NT,2+/week,66.67
NT,3+/week,55.99
NT,4+/week,47.79
NT,5+/week,41.36
NT,6+/week,33.47
NT,7+/week,27.04
QLD,1+/year,83.4
QLD,1+/month,77.77
QLD,1+/fortnight,73.34
QLD,1+/week,66.12
QLD,2+/week,56.45
QLD,3+/week,48.75
QLD,4+/week,40.35
QLD,5+/week,32.58
QLD,6+/week,24.36
QLD,7+/week,18.3
SA,1+/year,84.49
SA,1+/month,78.67
SA,1+/fortnight,74.51
SA,1+/week,65.91
SA,2+/week,56.23
SA,3+/week,47.71
SA,4+/week,38.96
SA,5+/week,32.0
SA,6+/week,23.9
SA,7+/week,19.32
TAS,1+/year,86.09
TAS,1+/month,80.92
TAS,1+/fortnight,76.89
TAS,1+/week,69.16
TAS,2+/week,60.57
TAS,3+/week,52.85
TAS,4+/week,42.45
TAS,5+/week,34.91
TAS,6+/week,26.39
TAS,7+/week,19.55
VIC,1+/year,86.96
VIC,1+/month,81.71
VIC,1+/fortnight,77.22
VIC,1+/week,69.59
VIC,2+/week,59.51
VIC,3+/week,50.05
VIC,4+/week,40.92
VIC,5+/week,33.82
VIC,6+/week,25.79
VIC,7+/week,19.59
WA,1+/year,86.79
WA,1+/month,81.95
WA,1+/fortnight,78.27
WA,1+/week,69.63
WA,2+/week,59.94
WA,3+/week,50.51
WA,4+/week,40.83
WA,5+/week,33.42
WA,6+/week,25.53
WA,7+/week,19.63
