state,age_group,informal_only,mixed,organised_only,total_informal,total_organised
ACT,Total,44.81,41.81,4.4,86.62,46.22
ACT,15-17,35.02,28.13,0.0,63.15,28.13
ACT,18-24,31.22,57.95,3.78,89.17,61.73
ACT,25-34,45.16,44.61,2.69,89.76,47.3
ACT,35-44,47.49,39.19,4.96,86.69,44.16
ACT,45-54,49.92,42.25,3.12,92.17,45.37
ACT,55-64,40.74,42.9,5.67,83.64,48.56
ACT,65+,54.3,26.26,8.03,80.56,34.29
NSW,Total,42.71,35.12,6.78,77.83,41.91
NSW,15-17,23.9,55.16,6.87,79.06,62.03
NSW,18-24,35.07,43.49,7.71,78.56,51.2
NSW,25-34,37.57,43.96,7.82,81.53,51.78
NSW,35-44,44.81,36.72,7.18,81.53,43.9
NSW,45-54,49.95,32.13,6.29,82.08,38.42
NSW,55-64,50.9,30.85,4.5,81.75,35.35
NSW,65+,43.74,22.39,6.88,66.13,29.28
NT,Total,41.0,45.51,4.65,86.51,50.16
NT,15-17,0.0,81.09,0.0,81.09,81.09
NT,18-24,39.83,51.03,2.66,90.86,53.69
NT,25-34,38.38,55.99,1.63,94.37,57.62
NT,35-44,34.77,49.05,7.93,83.82,56.98
NT,45-54,46.7,43.08,5.03,89.78,48.11
NT,55-64,57.83,23.1,5.06,80.93,28.17
NT,65+,42.92,28.21,7.06,71.14,35.28
QLD,Total,44.66,32.07,6.17,76.73,38.24
QLD,15-17,28.89,45.44,6.88,74.33,52.32
QLD,18-24,37.87,42.94,5.99,80.81,48.93
QLD,25-34,36.74,43.48,6.36,80.21,49.83
QLD,35-44,47.29,33.47,6.51,80.76,39.98
QLD,45-54,51.86,29.12,4.67,80.98,33.79
QLD,55-64,52.63,27.23,3.8,79.86,31.04
QLD,65+,45.23,18.96,8.32,64.19,27.28
SA,Total,43.06,34.3,6.69,77.36,41.0
SA,15-17,21.2,50.99,7.27,72.19,58.27
SA,18-24,31.38,50.18,6.84,81.57,57.03
SA,25-34,38.29,44.19,5.86,82.48,50.06
SA,35-44,43.99,36.26,6.26,80.25,42.52
SA,45-54,47.44,31.46,5.1,78.91,36.56
SA,55-64,53.85,21.58,4.34,75.43,25.92
SA,65+,44.52,26.75,9.68,71.27,36.43
TAS,Total,43.54,36.0,5.83,79.54,41.83
TAS,15-17,22.94,41.59,7.05,64.53,48.64
TAS,18-24,34.64,45.88,5.78,80.51,51.66
TAS,25-34,48.33,39.37,4.34,87.7,43.71
TAS,35-44,43.43,36.46,6.01,79.89,42.47
TAS,45-54,49.0,32.58,7.24,81.58,39.81
TAS,55-64,45.17,38.51,4.73,83.68,43.24
TAS,65+,41.56,27.51,6.77,69.07,34.28
VIC,Total,42.89,36.71,6.69,79.6,43.4
VIC,15-17,21.09,54.79,5.24,75.88,60.04
VIC,18-24,33.65,48.43,6.55,82.08,54.98
VIC,25-34,37.71,46.76,6.82,84.47,53.58
VIC,35-44,43.93,36.51,8.28,80.44,44.79
VIC,45-54,51.45,32.43,4.88,83.87,37.3
VIC,55-64,53.54,28.88,4.36,82.41,33.23
VIC,65+,43.43,25.51,8.42,68.93,33.92
WA,Total,42.84,36.4,7.07,79.24,43.47
WA,15-17,28.52,48.77,12.59,77.28,61.35
WA,18-24,34.61,44.48,8.28,79.1,52.76
WA,25-34,37.97,43.67,7.37,81.64,51.04
WA,35-44,42.17,39.74,7.16,81.91,46.9
WA,45-54,47.94,36.96,4.28,84.9,41.25
WA,55-64,50.18,31.53,5.24,81.71,36.77
WA,65+,46.83,21.28,8.23,68.11,29.51
